총 48개 trace replay 시작

[시작 전 prefix cache hits]
  hits: 0.0


  Turn 1: TTFT = 18.4 ms, hit rate = 68.2%
  Turn 2: TTFT = 16.5 ms, hit rate = 69.4%
  Turn 3: TTFT = 14.9 ms, hit rate = 69.4%
  Turn 4: TTFT = 13.8 ms, hit rate = 69.4%
  Turn 5: TTFT = 14.6 ms, hit rate = 69.4%
  Turn 6: TTFT = 15.9 ms, hit rate = 69.4%
  Turn 7: TTFT = 17.5 ms, hit rate = 69.4%
  Turn 8: TTFT = 18.0 ms, hit rate = 69.4%
  Turn 9: TTFT = 18.6 ms, hit rate = 69.4%
  Turn 10: TTFT = 19.0 ms, hit rate = 69.4%
  Turn 11: TTFT = 19.6 ms, hit rate = 69.4%
  Turn 12: TTFT = 19.3 ms, hit rate = 69.4%
  Turn 13: TTFT = 19.3 ms, hit rate = 69.4%
  Turn 14: TTFT = 19.2 ms, hit rate = 69.4%
  Turn 15: TTFT = 21.4 ms, hit rate = 69.4%
  Turn 16: TTFT = 22.7 ms, hit rate = 69.4%
  Turn 17: TTFT = 25.3 ms, hit rate = 69.4%
  Turn 18: TTFT = 23.6 ms, hit rate = 69.4%
  Turn 19: TTFT = 23.3 ms, hit rate = 69.4%
  Turn 20: TTFT = 25.0 ms, hit rate = 69.4%
  Turn 21: TTFT = 25.5 ms, hit rate = 69.4%
  Turn 22: TTFT = 26.1 ms, hit rate = 69.4%
  Turn 23: TTFT = 26.6 ms, hit rate = 69.4%
  Turn 24: TTFT = 26.5 ms, hit rate = 69.4%
  Turn 25: TTFT = 27.7 ms, hit rate = 69.4%
  Turn 26: TTFT = 27.8 ms, hit rate = 69.4%
  Turn 27: TTFT = 28.5 ms, hit rate = 69.4%
  Turn 28: TTFT = 28.1 ms, hit rate = 69.4%
  Turn 29: TTFT = 29.0 ms, hit rate = 69.4%
  Turn 30: TTFT = 29.1 ms, hit rate = 69.4%
  Turn 31: TTFT = 29.9 ms, hit rate = 69.4%
  Turn 32: TTFT = 29.7 ms, hit rate = 69.4%
  Turn 33: TTFT = 30.2 ms, hit rate = 69.4%
  Turn 34: TTFT = 31.0 ms, hit rate = 69.4%
  Turn 35: TTFT = 31.9 ms, hit rate = 69.4%
  Turn 36: TTFT = 32.9 ms, hit rate = 69.4%
  Turn 37: TTFT = 33.2 ms, hit rate = 69.4%
